,,
"DHL","1D","DHL Next Afternoon"
"DHL","2D","DHL 2nd Day"
"DHL","GD","DHL Ground"
"DHL","WPE","DHL Worldwide Priority Express"
"UPS","1D","UPS Next Day Air"
"UPS","2D","UPS Second Day Air"
"UPS","3D","UPS Three-Day Select"
"UPS","GD","UPS Ground"
"UPS","WSV","UPS Saver"
"UPS","WXP","UPS Expedited"
"UPS","ST","UPS Standard"
"UPS","WXS","UPS Express"
"USPS","XP","USPS Express Mail"
"USPS","XPFE","USPS Express Mail Flat-Rate Envelope"
"USPS","PM","USPS Priority Mail + Delivery Confirmation"
"USPS","PMFE","USPS Priority Mail Flat-Rate Envelope + Delivery Confirmation"
"USPS","PMFB","USPS Priority Mail Flat-Rate Box + Delivery Confirmation"
"USPS","PMLB","USPS Priority Mail Large Flat-Rate Box + Delivery Confirmation"
"USPS","PP","USPS Parcel Post"
"USPS","FC","USPS First-Class Mail Parcel + Delivery Confirmation"
"USPS","MM","USPS Media Mail"
"USPS","EMI","USPS Express Mail International"
"USPS","PMI","USPS Priority Mail International"
"USPS","FCI","USPS First-Class Mail International"
"CP","RP","Canada Post Regular Parcel"
"CP","EP","Canada Post Expedited Parcel"
"CP","XP","Canada Post Xpresspost"
"CP","PC","Canada Post Priority Courier"
"CP","EXUB","Canada Post Expedited US Business"
"CP","XPU","Canada Post Xpresspost USA"
"CP","PUR","Canada Post Purolator International"
"CP","PA","Canada Post Parcel Air"
"CP","XPI","Canada Post XPressPost International"
"PUR","XP","Purolator Express"
"PUR","GD","Purolator Ground"
"PUR","XPUS","Purolator Express US"
"PUR","GDUS","Purolator Ground US"
"PUR","XPI","Purolator Express International"
"FDX","FT","FedEx Freight"
"FDX","GD","FedEx Ground"
"FDX","GDH","FedEx Home Delivery"
"FDX","1D","FedEx Standard Overnight"
"FDX","1DP","FedEx Priority Overnight"
"FDX","IP","FedEx International Priority"
"FDX","IE","FedEx International Economy"
"FDX","2D","FedEx 2Day"
"RM","SDND","Royal Mail Special Delivery Next Day"
"RM","FCL","Royal Mail First Class Large Letter"
"RM","SCL","Royal Mail Second Class Large Letter"
"RM","FCP","Royal Mail First Class Packet"
"RM","SCP","Royal Mail Second Class Packet"
"RM","SP","Royal Mail Standard Parcels"
"RM","FCLR","Royal Mail First Class Large Letter - Recorded Signed For"
"RM","SCLR","Royal Mail Second Class Large Letter - Recorded Signed For"
"RM","FCPR","Royal Mail First Class Packet - Recorded Signed For"
"RM","SCPR","Royal Mail Second Class Packet - Recorded Signed For"
"RM","AM","Royal Mail Airmail"
"RM","AMS","Royal Mail Airsure"
"RM","ISF","Royal Mail International Signed For"
"PF","1D","Parcelforce 24"
"PF","2D","Parcelforce 48"
"PF","DP","Parcelforce International Datapost"
"PF","EU","Parcelforce Euro 48"
"PF","ISC","Parcelforce International Scheduled"
"PF","IST","Parcelforce International Standard"
"PF","IEC","Parcelforce International Economy"
"PH","HE","Pharos Hercules"
"ET","GD","Eurotrux Ground"
